num,nom,prenom,genre,niveau Francais,niveau Maths,Penibilite
1,nom1,prenom1,M,1,1,A
2,nom2,prenom2,F,2,3,A
3,nom3,prenom3,M,3,4,A
4,nom4,prenom4,F,4,6,B
5,nom5,prenom5,M,5,1,C
6,nom6,prenom6,F,6,2,A
7,nom7,prenom7,M,1,3,A
8,nom8,prenom8,F,2,5,C
9,nom9,prenom9,M,3,4,C
10,nom10,prenom10,F,4,6,A
11,nom11,prenom11,M,5,3,A
12,nom12,prenom12,F,6,4,A
13,nom13,prenom13,M,2,1,A
14,nom14,prenom14,F,3,2,A
15,nom15,prenom15,M,4,6,B
16,nom16,prenom16,F,5,5,A
17,nom17,prenom17,M,6,5,A
18,nom18,prenom18,F,7,5,C
19,nom19,prenom19,M,2,3,A
20,nom20,prenom20,F,3,2,A
21,nom21,prenom21,M,4,1,B
22,nom22,prenom22,F,5,4,A
23,nom23,prenom23,M,6,2,A
